id,date,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone,twentytwo,twentythree,twentyfour
547,2024/4/18,0,0,0,0,0,0,141,168,275,325,346,666,1182,1422,1462,1219,793,649,330,298,207,160,0,0
548,2024/4/18,0,0,0,0,0,0,7,328,448,571,672,1015,1256,1957,2452,1834,1049,824,594,519,366,131,0,0
549,2024/4/18,0,0,0,0,0,0,89,121,299,420,477,833,1324,1716,1934,1339,914,494,421,319,275,117,0,0
550,2023/1/1,0,0,0,0,0,0,1,57,162,189,732,917,1222,1760,1813,1465,1183,772,406,184,100,30,0,0
551,2023/1/1,0,0,0,0,0,0,124,335,379,476,554,1245,1459,2069,2175,1701,1305,567,526,390,353,187,0,0
552,2023/1/1,0,0,0,0,0,0,125,183,238,461,568,682,1349,1742,2368,1636,846,594,480,322,205,153,0,0
553,2023/1/1,0,0,0,0,0,0,58,75,254,358,771,1046,1350,1754,2368,1594,1229,783,408,354,99,66,0,0
554,2023/1/1,0,0,0,0,0,0,71,158,298,365,767,1280,1556,1819,2180,1814,1392,1127,391,343,242,114,0,0
555,2023/1/2,0,0,0,0,0,0,85,191,230,448,688,826,1039,1276,1479,1237,900,763,489,281,200,145,0,0
556,2023/1/2,0,0,0,0,0,0,80,137,232,360,381,622,854,1963,2197,1019,628,579,361,330,166,115,0,0
557,2023/1/2,0,0,0,0,0,0,17,106,147,268,517,649,1009,1463,1957,1403,965,583,305,148,142,45,0,0
558,2023/1/2,0,0,0,0,0,0,12,182,257,391,621,994,1316,2081,2269,1536,1154,856,393,331,236,154,0,0
559,2023/1/2,0,0,0,0,0,0,18,178,235,332,361,463,930,1980,2029,1860,518,437,343,286,184,101,0,0
560,2023/1/2,0,0,0,0,0,0,56,212,296,435,671,1030,1216,1603,1689,1392,1138,877,670,312,229,137,0,0
561,2023/1/2,0,0,0,0,0,0,3,92,285,383,540,755,1145,1371,1391,1185,1090,548,386,348,94,48,0,0
562,2023/1/2,0,0,0,0,0,0,36,210,277,553,669,1139,1284,1646,2244,1333,1274,970,555,450,250,36,0,0
563,2023/1/3,0,0,0,0,0,0,11,195,227,341,489,704,997,1278,1567,1266,884,595,358,237,226,72,0,0
564,2023/1/3,0,0,0,0,0,0,25,45,96,346,528,656,1405,1748,1977,1486,687,652,379,159,83,34,0,0
565,2023/1/3,0,0,0,0,0,0,14,61,220,333,377,560,801,1198,1661,1056,596,498,336,229,210,19,0,0
566,2023/1/3,0,0,0,0,0,0,2,133,240,249,484,768,977,1714,1836,1242,958,548,316,241,139,95,0,0
567,2023/1/3,0,0,0,0,0,0,53,131,268,305,330,377,763,1218,1703,951,754,368,325,305,206,129,0,0
568,2023/1/3,0,0,0,0,0,0,72,198,381,469,698,995,1307,1408,1815,1341,1018,918,561,424,315,180,0,0
569,2023/1/3,0,0,0,0,0,0,86,266,364,450,534,752,1175,1213,1948,1211,822,561,468,435,307,230,0,0
570,2023/1/3,0,0,0,0,0,0,42,193,297,333,388,528,940,1562,1760,1066,564,473,373,327,216,167,0,0
571,2023/1/4,0,0,0,0,0,0,110,301,395,493,686,780,880,1281,1611,1224,792,735,644,423,333,183,0,0
572,2023/1/4,0,0,0,0,0,0,85,174,381,508,603,810,1078,1475,1598,1328,864,735,598,473,292,140,0,0
573,2023/1/4,0,0,0,0,0,0,42,70,241,390,1185,1226,1471,2033,2259,1765,1408,1197,1002,327,97,52,0,0
574,2023/1/4,0,0,0,0,0,0,27,54,258,322,476,710,858,1086,1606,1033,838,665,389,314,133,40,0,0
575,2023/1/4,0,0,0,0,0,0,102,169,214,299,470,778,885,1820,1911,1801,800,511,349,268,204,140,0,0
576,2023/1/4,0,0,0,0,0,0,37,154,332,368,730,1249,1428,1757,1818,1569,1427,985,553,364,231,75,0,0
577,2023/1/4,0,0,0,0,0,0,115,196,288,334,482,606,1182,1700,1945,1376,726,491,402,317,270,170,0,0
578,2023/1/4,0,0,0,0,0,0,8,88,218,379,438,535,580,1241,1654,876,550,522,385,246,102,73,0,0
579,2023/1/5,0,0,0,0,0,0,23,200,298,474,1051,1389,1470,1498,1997,1488,1441,1354,743,320,230,160,0,0
580,2023/1/5,0,0,0,0,0,0,49,301,351,507,589,674,1055,1545,1609,1297,865,593,584,353,330,152,0,0
581,2023/1/5,0,0,0,0,0,0,8,45,149,336,366,498,634,1367,1437,1340,602,384,363,269,75,40,0,0
582,2023/1/5,0,0,0,0,0,0,9,96,359,421,668,813,1017,1278,1438,1115,939,743,519,389,114,23,0,0
583,2023/1/5,0,0,0,0,0,0,95,176,450,567,998,1062,1370,1885,2027,1574,1354,1028,839,510,338,139,0,0
584,2023/1/5,0,0,0,0,0,0,139,236,296,422,721,951,1185,1295,1566,1291,1073,874,437,393,258,217,0,0
585,2023/1/5,0,0,0,0,0,0,8,52,91,309,359,536,1011,1951,2087,1290,667,464,330,186,82,29,0,0
586,2023/1/5,0,0,0,0,0,0,16,161,172,285,349,482,1057,1770,2089,1338,558,449,322,261,165,46,0,0
587,2023/1/6,0,0,0,0,0,0,14,74,235,379,522,853,1024,1726,1825,1333,913,706,397,377,179,57,0,0
588,2023/1/6,0,0,0,0,0,0,58,118,250,339,415,487,616,890,1547,633,503,483,401,263,141,74,0,0
589,2023/1/6,0,0,0,0,0,0,26,185,282,332,512,705,1118,1456,1504,1392,769,603,481,294,194,166,0,0
590,2023/1/6,0,0,0,0,0,0,24,113,218,332,347,419,537,867,895,676,469,358,346,288,140,100,0,0
591,2023/1/6,0,0,0,0,0,0,41,238,387,506,611,909,1411,1632,1900,1576,1234,674,522,502,317,204,0,0
592,2023/1/6,0,0,0,0,0,0,10,182,255,320,445,621,1279,1403,1408,1353,860,572,443,294,223,105,0,0
593,2023/1/6,0,0,0,0,0,0,64,156,327,448,582,956,1138,1854,2285,1703,1061,690,505,331,232,75,0,0
594,2023/1/6,0,0,0,0,0,0,28,178,220,310,649,828,1049,1355,2106,1338,1031,804,539,221,201,149,0,0
595,2023/1/7,0,0,0,0,0,0,28,84,158,300,438,672,1009,1201,1540,1118,879,517,322,279,143,44,0,0
596,2023/1/7,0,0,0,0,0,0,24,130,191,280,372,481,687,1118,1298,857,581,380,359,226,149,119,0,0
597,2023/1/7,0,0,0,0,0,0,31,49,172,221,427,496,691,1335,1491,912,552,456,242,181,82,44,0,0
598,2023/1/7,0,0,0,0,0,0,11,46,254,376,655,721,828,1714,2000,1398,823,663,624,297,247,17,0,0
599,2023/1/7,0,0,0,0,0,0,5,233,390,490,624,895,983,1288,1711,1092,907,851,522,412,357,99,0,0
600,2023/1/7,0,0,0,0,0,0,98,111,176,274,371,475,837,1179,2316,1029,537,446,292,195,113,106,0,0
601,2023/1/7,0,0,0,0,0,0,43,261,293,351,437,546,830,1392,1566,1142,827,546,386,300,281,244,0,0
602,2023/1/7,0,0,0,0,0,0,98,111,336,488,579,871,1143,1761,1981,1633,1075,803,567,340,256,102,0,0
603,2023/1/8,0,0,0,0,0,0,75,160,310,343,456,563,935,1276,1748,1179,892,475,381,333,273,140,0,0
604,2023/1/8,0,0,0,0,0,0,7,64,300,542,641,901,1031,1804,1980,1255,928,797,576,347,144,29,0,0
605,2023/1/8,0,0,0,0,0,0,67,132,150,228,345,549,739,851,886,791,559,467,320,193,139,88,0,0
606,2023/1/8,0,0,0,0,0,0,4,274,384,574,889,1041,1183,1759,1853,1599,1077,895,749,551,308,237,0,0
607,2023/1/8,0,0,0,0,0,0,51,257,271,364,509,888,1374,1851,2029,1391,1000,850,392,360,266,181,0,0
608,2023/1/8,0,0,0,0,0,0,22,153,305,359,545,691,1045,1155,1719,1070,981,556,424,336,229,80,0,0
609,2023/1/8,0,0,0,0,0,0,159,366,372,498,718,912,1125,1238,1789,1170,1037,786,566,450,371,181,0,0
610,2023/1/8,0,0,0,0,0,0,35,272,347,394,430,586,777,964,1183,796,759,524,408,352,313,239,0,0
611,2023/1/9,0,0,0,0,0,0,22,109,441,459,760,904,1071,1464,1901,1089,910,813,736,447,212,65,0,0
612,2023/1/9,0,0,0,0,0,0,59,292,357,429,562,789,1264,1467,1546,1447,961,563,432,421,309,78,0,0
613,2023/1/9,0,0,0,0,0,0,2,144,276,492,624,661,806,1398,1974,909,761,636,497,303,214,63,0,0
614,2023/1/9,0,0,0,0,0,0,24,71,137,395,574,743,1201,1598,1836,1282,785,723,510,360,110,28,0,0
615,2023/1/9,0,0,0,0,0,0,113,215,281,309,772,885,1135,1423,1788,1216,991,809,727,286,233,127,0,0
616,2023/1/9,0,0,0,0,0,0,34,135,183,259,342,577,906,1314,1714,1103,718,399,268,257,158,134,0,0
617,2023/1/9,0,0,0,0,0,0,35,207,314,403,464,581,644,1152,1327,646,620,506,405,316,253,128,0,0
618,2023/1/9,0,0,0,0,0,0,94,173,189,714,749,1322,1532,1787,2225,1583,1404,913,726,268,177,115,0,0
619,2023/1/10,0,0,0,0,0,0,38,158,259,519,591,941,1209,1594,1839,1572,1151,849,545,366,169,147,0,0
620,2023/1/10,0,0,0,0,0,0,59,145,168,292,355,891,1476,1741,1990,1622,908,435,336,263,158,115,0,0
621,2023/1/10,0,0,0,0,0,0,107,185,365,568,602,952,1114,1144,1340,1122,966,659,579,476,309,166,0,0
622,2023/1/10,0,0,0,0,0,0,1,112,317,373,425,466,785,2015,2034,1126,606,427,384,339,122,77,0,0
623,2023/1/10,0,0,0,0,0,0,113,130,212,216,462,759,1177,1892,2492,1215,1097,465,445,212,150,125,0,0
624,2023/1/10,0,0,0,0,0,0,56,190,347,432,746,942,1336,1537,2409,1501,1156,821,458,421,300,130,0,0
625,2023/1/10,0,0,0,0,0,0,162,250,298,339,459,871,1275,1807,1918,1575,1218,516,371,334,280,185,0,0
626,2023/1/10,0,0,0,0,0,0,33,69,82,264,807,1082,1426,1824,1880,1689,1315,1029,300,126,72,50,0,0
627,2023/1/11,0,0,0,0,0,0,6,139,211,317,481,601,1303,1460,2344,1414,1063,496,404,281,197,49,0,0
628,2023/1/11,0,0,0,0,0,0,24,126,256,327,358,461,894,1053,1219,1046,511,409,344,309,171,38,0,0
629,2023/1/11,0,0,0,0,0,0,25,65,152,249,478,584,682,860,2193,848,616,569,277,199,109,60,0,0
630,2023/1/11,0,0,0,0,0,0,71,233,318,434,466,827,1033,1149,1170,1035,911,680,451,420,315,117,0,0
631,2023/1/11,0,0,0,0,0,0,1,38,180,250,436,475,1256,1357,1490,1291,1161,438,357,198,92,29,0,0
632,2023/1/11,0,0,0,0,0,0,4,142,303,396,427,729,1146,1459,1785,1325,797,481,398,336,296,57,0,0
633,2023/1/11,0,0,0,0,0,0,25,143,188,289,725,775,1157,1743,2005,1712,1082,752,402,238,147,69,0,0
634,2023/1/11,0,0,0,0,0,0,20,121,148,401,485,601,1024,1759,1949,1526,923,587,423,228,123,91,0,0
635,2023/1/12,0,0,0,0,0,0,14,133,335,462,486,903,1302,1525,1872,1473,915,867,478,438,276,85,0,0
636,2023/1/12,0,0,0,0,0,0,80,114,335,457,503,663,1289,1491,2370,1328,700,510,496,351,116,88,0,0
637,2023/1/12,0,0,0,0,0,0,36,217,255,352,417,530,814,1061,1943,816,720,441,363,256,227,94,0,0
638,2023/1/12,0,0,0,0,0,0,108,149,272,409,581,763,859,998,1244,871,855,729,529,340,252,122,0,0
639,2023/1/12,0,0,0,0,0,0,113,162,322,396,453,599,927,1253,1288,1181,604,547,429,362,288,138,0,0
640,2023/1/12,0,0,0,0,0,0,24,170,242,292,336,353,753,1284,1306,1130,556,341,300,253,190,62,0,0
641,2023/1/12,0,0,0,0,0,0,47,248,338,368,576,630,962,1345,1788,1290,698,625,422,365,291,50,0,0
642,2023/1/12,0,0,0,0,0,0,71,154,288,401,451,587,1152,1992,2269,1781,744,511,404,366,209,132,0,0
643,2023/1/13,0,0,0,0,0,0,92,165,180,334,346,616,807,1043,1069,891,804,451,335,322,176,157,0,0
644,2023/1/13,0,0,0,0,0,0,1,37,87,121,354,475,789,1468,2112,1151,482,464,340,96,69,17,0,0
645,2023/1/13,0,0,0,0,0,0,81,135,164,260,346,437,909,1703,1783,1549,509,379,286,190,139,93,0,0
646,2023/1/13,0,0,0,0,0,0,66,212,323,380,618,807,868,1338,1513,1180,847,695,579,337,221,111,0,0
647,2023/1/13,0,0,0,0,0,0,183,252,300,463,502,713,1573,1619,1685,1580,756,695,479,460,286,212,0,0
648,2023/1/13,0,0,0,0,0,0,57,113,152,313,529,734,850,1093,2138,957,764,727,349,177,151,62,0,0
649,2023/1/13,0,0,0,0,0,0,21,141,272,306,848,1092,1406,1830,2499,1790,1115,903,381,290,183,70,0,0
650,2023/1/13,0,0,0,0,0,0,31,103,130,261,503,859,1026,1179,1731,1099,1010,782,377,246,118,103,0,0
651,2023/1/14,0,0,0,0,0,0,30,104,332,417,755,876,1085,1206,1505,1172,877,815,494,391,328,100,0,0
652,2023/1/14,0,0,0,0,0,0,17,160,347,425,526,684,1133,1795,1801,1478,1007,630,446,414,221,87,0,0
653,2023/1/14,0,0,0,0,0,0,5,175,333,365,496,537,888,1788,1959,1477,561,512,368,345,276,12,0,0
654,2023/1/14,0,0,0,0,0,0,85,287,379,433,554,712,1067,1482,1555,1182,817,591,476,385,312,100,0,0
655,2023/1/14,0,0,0,0,0,0,40,70,212,459,561,922,1102,1168,2263,1124,970,790,559,399,80,67,0,0
656,2023/1/14,0,0,0,0,0,0,20,194,383,558,690,851,1554,1948,2174,1582,860,798,614,421,333,57,0,0
657,2023/1/14,0,0,0,0,0,0,25,156,321,384,585,764,1049,1470,1952,1099,1016,700,499,363,307,135,0,0
658,2023/1/14,0,0,0,0,0,0,105,300,375,609,827,968,1020,1488,2048,1187,995,847,775,500,357,225,0,0
659,2023/1/15,0,0,0,0,0,0,9,67,297,406,810,874,1035,1706,2484,1152,900,871,459,346,169,17,0,0
660,2023/1/15,0,0,0,0,0,0,82,245,431,620,882,957,1418,1917,1996,1577,1316,911,695,547,342,188,0,0
661,2023/1/15,0,0,0,0,0,0,44,145,283,455,812,924,1030,1584,1969,1488,946,852,781,424,225,115,0,0
662,2023/1/15,0,0,0,0,0,0,77,262,321,368,522,661,1171,1400,1473,1203,877,592,495,335,304,108,0,0
663,2023/1/15,0,0,0,0,0,0,13,249,320,404,568,795,1266,1446,1803,1288,1053,650,505,363,290,72,0,0
664,2023/1/15,0,0,0,0,0,0,315,358,398,510,650,866,934,1588,1764,1405,870,656,620,403,367,355,0,0
665,2023/1/15,0,0,0,0,0,0,30,269,347,444,476,1044,1075,1904,1923,1180,1045,663,461,353,330,34,0,0
666,2023/1/15,0,0,0,0,0,0,10,135,342,451,842,877,1000,1790,1970,1091,947,877,577,375,277,19,0,0
667,2023/1/16,0,0,0,0,0,0,16,110,181,295,464,501,1549,1939,2467,1584,721,500,394,192,129,76,0,0
668,2023/1/16,0,0,0,0,0,0,16,119,232,438,482,874,1168,1665,2140,1230,913,658,450,315,136,19,0,0
669,2023/1/16,0,0,0,0,0,0,9,224,284,305,460,718,1029,1435,1994,1177,730,506,383,304,265,206,0,0
670,2023/1/16,0,0,0,0,0,0,23,184,372,534,741,912,1239,1578,1759,1260,1069,812,581,415,313,129,0,0
671,2023/1/16,0,0,0,0,0,0,86,141,211,358,373,528,1061,1494,1616,1284,582,433,372,235,189,139,0,0
672,2023/1/16,0,0,0,0,0,0,14,182,222,295,399,566,1019,1522,1982,1426,592,410,343,294,210,25,0,0
673,2023/1/16,0,0,0,0,0,0,3,178,212,282,379,897,1115,1948,2157,1491,991,738,372,232,183,113,0,0
674,2023/1/16,0,0,0,0,0,0,41,238,307,324,526,634,1431,2008,2482,1826,770,540,457,319,246,203,0,0
675,2023/1/17,0,0,0,0,0,0,36,203,246,285,399,544,1209,1600,1857,1367,628,411,307,247,244,150,0,0
676,2023/1/17,0,0,0,0,0,0,10,177,312,362,530,952,1208,1486,1568,1469,996,915,395,358,211,146,0,0
677,2023/1/17,0,0,0,0,0,0,12,98,191,574,868,1140,1526,1809,1842,1658,1241,978,716,317,165,85,0,0
678,2023/1/17,0,0,0,0,0,0,7,170,284,488,591,663,854,1663,1735,1544,769,601,509,396,256,51,0,0
679,2023/1/17,0,0,0,0,0,0,69,201,227,359,433,1012,1178,1946,2011,1532,1100,679,412,270,211,73,0,0
680,2023/1/17,0,0,0,0,0,0,136,156,223,383,586,714,990,1460,1769,1421,844,660,524,243,218,155,0,0
681,2023/1/17,0,0,0,0,0,0,39,59,69,210,303,490,983,1413,1669,1160,600,422,288,84,66,48,0,0
682,2023/1/17,0,0,0,0,0,0,133,237,279,392,460,540,1155,1445,1774,1190,695,504,428,315,278,210,0,0
683,2023/1/18,0,0,0,0,0,0,3,55,186,329,701,994,1187,1624,1880,1505,1167,928,645,329,168,15,0,0
684,2023/1/18,0,0,0,0,0,0,163,225,259,421,598,885,1083,1399,1746,1202,913,669,554,409,234,188,0,0
685,2023/1/18,0,0,0,0,0,0,7,146,306,373,488,505,698,1570,1722,1489,519,499,473,319,261,26,0,0
686,2023/1/18,0,0,0,0,0,0,0,257,300,490,723,1059,1163,1481,1641,1363,1132,850,573,370,292,94,0,0
687,2023/1/18,0,0,0,0,0,0,45,69,223,344,608,683,1032,1498,1541,1279,794,631,380,339,77,50,0,0
688,2023/1/18,0,0,0,0,0,0,85,316,395,498,732,896,1125,1369,1429,1203,963,824,608,444,379,158,0,0
689,2023/1/18,0,0,0,0,0,0,73,251,299,390,585,736,870,1766,1977,1113,821,666,538,338,260,145,0,0
690,2023/1/18,0,0,0,0,0,0,50,240,363,393,629,936,1129,1301,1335,1248,1105,655,555,389,349,169,0,0
691,2023/1/19,0,0,0,0,0,0,49,178,278,339,506,641,1284,1691,1782,1685,1225,543,407,320,189,138,0,0
692,2023/1/19,0,0,0,0,0,0,67,170,181,453,617,1036,1226,1432,1532,1360,1193,624,550,385,180,164,0,0
693,2023/1/19,0,0,0,0,0,0,94,209,321,413,647,951,1340,1824,2249,1566,975,695,626,369,247,153,0,0
694,2023/1/19,0,0,0,0,0,0,10,178,299,353,398,732,973,1244,1717,1140,779,486,389,340,293,117,0,0
695,2023/1/19,0,0,0,0,0,0,28,66,160,282,394,629,724,1178,1380,975,712,458,300,249,79,50,0,0
696,2023/1/19,0,0,0,0,0,0,13,96,230,266,318,418,671,1443,1990,1040,546,396,306,262,150,96,0,0
697,2023/1/19,0,0,0,0,0,0,197,355,608,734,805,1329,1557,1745,1785,1585,1372,1224,745,664,496,239,0,0
698,2023/1/19,0,0,0,0,0,0,128,260,283,355,563,761,985,1186,2331,1178,974,604,370,353,264,140,0,0
699,2023/1/20,0,0,0,0,0,0,60,112,164,472,617,735,854,1585,2118,1011,745,649,523,240,119,109,0,0
700,2023/1/20,0,0,0,0,0,0,7,102,195,538,978,1476,1638,1841,2084,1820,1620,1386,875,390,188,64,0,0
701,2023/1/20,0,0,0,0,0,0,12,127,429,488,591,853,1188,1392,1409,1206,1099,799,504,436,184,113,0,0
702,2023/1/20,0,0,0,0,0,0,16,83,114,251,345,547,881,1663,1677,997,858,346,314,139,98,57,0,0
703,2023/1/20,0,0,0,0,0,0,101,258,397,614,773,922,990,1192,1791,1106,984,893,730,403,311,131,0,0
704,2023/1/20,0,0,0,0,0,0,2,81,186,310,640,815,854,1770,2096,1093,835,696,564,259,172,17,0,0
705,2023/1/20,0,0,0,0,0,0,44,109,363,403,534,644,839,1369,1636,1120,715,617,470,368,262,94,0,0
706,2023/1/20,0,0,0,0,0,0,18,143,378,426,566,739,930,1149,1434,1091,869,692,557,399,317,127,0,0
